200,8
210,2
220,2
230,5
240,2
250,6
260,6
270,22
280,0
290,0
300,87
310,30
320,9
330,186
340,147
350,55
360,297
370,422
380,199
390,459
400,882
410,534
420,634
430,1716
440,1823
450,1025
460,3156
470,5958
480,3023
490,6033
500,14599
510,10145
520,12524
530,29702
540,29345
550,27494
560,54977
570,76812
580,61671
590,96673
600,183329
610,160210
620,176971
630,401455
640,450564
650,388944
660,822533
670,1173142
680,992703
690,1651858
700,2741184
710,2616972
720,3354232
730,5901521
740,6779350
750,7113765
760,12073637
770,16844281
780,16397063
790,24450389
800,39575132
